0,Root
1,ClassI
1.1,LTR
1.1.1,Copia
1.1.2,Bel-Pao
1.1.3,Retrovirus
1.1.4,Gypsy
1.1.5,ERV
1.1.6,?
1.2,SINE
1.2.1,5S
1.2.2,7SL
1.2.3,tRNA
1.2.4,?
1.3,LINE
1.3.1,I
1.3.2,Jockey
1.3.3,L1
1.3.4,RTE
1.3.5,R2
1.3.6,?
1.4,DIRS
1.4.1,DIRS
1.4.2,Ngaro
1.5,PLE
1.5.1,Penelope
1.6,TRIM
1.6.1,?
1.7,?
1.7.1,?
2,ClassII
2.1,TIR
2.1.1,hAT
2.1.2,Tc1-Mariner
2.1.3,P
2.1.4,MuDR
2.1.5,CACTA
2.1.6,PIF-Harbinger
2.1.7,PiggyBac
2.1.8,Transib
2.1.9,Merlin
2.1.10,?
2.2,Crypton
2.2.1,Crypton
2.3,Helitron
2.3.1,Helitron
2.4,MITE
2.4.1,?
2.5,?
2.5.1,Academ
2.5.2,Kolobok
2.5.3,Ginger2/TDD
2.5.4,Ginger1
2.5.5,Chapaev
2.5.6,?
2.6,Maverick
2.6.1,Maverick
