Sequence ID,Predicted label,Final_Confidence_Score,Predicted_Code,Predicted_Path_Codes
5S,5S,N/A,1.5.3,"1,1.5,1.5.3"
Academ-2N1_LMi,SubclassI,N/A,2.1,"2,2.1"
ATGP1LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-2_Cfl-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_CP-I__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_CQ-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-2_DBp-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_Deu-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_DPer-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_DTa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_ECa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_ES-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_GA-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
ATGP3A_I,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-2_HAE-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_LBS-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_LH-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-2_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_MVPL-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_PGr-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-2_PPI-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_PR-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_PSo-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_PTc-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATGP3LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_RC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_SCH-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-2_SLL-I,L1,N/A,1.4.4,"1,1.4,1.4.4"
Copia-2_SPDB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_TA-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_TCa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-2_VA-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3-LTR_NV,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-30_ALY-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATGP5I,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-30_CCri-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_ECa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_GM-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_PAb-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-30_TC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_BD-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATGP7LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_DPu-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_GM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_LU-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-31_PAb-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_Pru-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_SB-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-31_TC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_BD-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATGP9LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-32_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_ECa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_Mad-LTR__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_Pru-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-32_TC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_CCri-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHAT7,hAT,N/A,2.1.1.2,"2,2.1,2.1.1,2.1.1.2"
Copia-33_FV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_JC-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-33_MLP-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_Pru-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_SB-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-33_TC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_BD-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_ECa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHATN2,hAT,N/A,2.1.1.2,"2,2.1,2.1.1,2.1.1.2"
Copia-34_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_Mad-LTR__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_Pru-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-34_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
